model,time,score_mean,score_std,iterations,efficiency_mean,efficiency_std
Linear regression,1.0076665878295898,10.607844846848389,0.2743898386537488,64,10.527137621677618,0.27230220984577475
Quantile regression,13.022616147994995,11.232529988893651,0.5339675442537977,64,0.8625402039991057,0.041003093248356944
Nearest Neighbors,4.010052442550659,5.629345086097658,0.259916949955242,64,1.4038083458372481,0.06481634683807716
Linear SVM,2.0117762088775635,10.708951576218103,0.18119544001317867,64,5.323132627258269,0.09006739378545171
RBF SVM,23.033118724822998,4.447598909444133,0.15448198703624386,64,0.1930958183552849,0.006706950495147548
Polynomial SVM,22.032575845718384,3.140246299521634,0.20732526505696386,64,0.14252742491440834,0.009409942192358486
Gaussian Process,16.101160764694214,10.799123697755519,1.1339048457917644,64,0.6707046687860713,0.07042379505197736
Decision Tree,2.009779214859009,8.731952948098249,0.22690155521574393,64,4.344732438040871,0.11289874705548772
Random Forest,24.032652139663696,3.934874621112375,0.2776973793888603,64,0.1637303531148035,0.011555003491709771
Gradient Boosting,130.17314052581787,1.719782048432297,0.1943253856756768,64,0.013211496945417893,0.0014928224431762505
Neural Net,1168.3492560386658,2.612269109981782,0.09225936803187444,64,0.002235863203130529,7.896557262738667e-05
AdaBoost,66.08205533027649,6.9414392947908405,0.12834531098047045,64,0.10504272695662532,0.0019422112453827856
SGD,369.41435861587524,9.919065552702383,0.07687551674948646,64,0.02685078509094021,0.0002081010522642495
Linear regression,1.0042712688446045,10.673178806771121,0.2136049660749757,128,10.627784681175253,0.21269648221712473
Quantile regression,26.038212060928345,10.914169792657743,0.5677721514337226,128,0.41915972445108884,0.02180534324342851
Nearest Neighbors,7.014369010925293,5.837477211045538,1.4890727213840225,128,0.8322170108178403,0.21228890568270703
Linear SVM,2.009828567504883,11.063137164977912,0.283823524347968,128,5.5045178200011,0.14121777794228632
RBF SVM,41.055699825286865,4.447290571484821,0.7595742541134406,128,0.10832334098335508,0.01850106702226049
Polynomial SVM,30.039856672286987,3.7821740678573597,0.9892365475271417,128,0.1259051968562344,0.03293080117921313
Gaussian Process,16.082202196121216,9.048486819437764,0.34542040590642276,128,0.5626397870821523,0.021478427002350024
Decision Tree,5.012797594070435,7.0541492004484985,1.1207398649711455,128,1.4072280135134019,0.22357572671532808
Random Forest,36.048651933670044,5.990972995134132,0.8261198988321397,128,0.16619131850360436,0.02291680422203333
Gradient Boosting,235.30105876922607,3.350776321182163,1.432629871560243,128,0.014240379277122043,0.006088497344864519
Neural Net,2778.2244386672974,3.6127272759364644,1.8948544595491323,128,0.0013003727221078923,0.0006820379351561986
AdaBoost,142.1664047241211,6.571891028326864,0.14579647786249872,128,0.04622675125730196,0.0010255339729904678
SGD,2569.8801777362823,10.591985992333123,0.9151481645426603,128,0.004121587490379895,0.00035610538283881486
Linear regression,1.0054802894592285,11.206285964286081,0.18523974591831763,256,11.145207003822115,0.1842301115797546
Quantile regression,49.06569051742554,11.81305531957391,0.23796933128178185,256,0.24075999328652142,0.004850014924324111
Nearest Neighbors,10.017966747283936,5.263095281913792,0.14613473548677383,256,0.5253656170640333,0.01458726497833443
Linear SVM,3.028428554534912,11.044683313092177,0.17119863290219842,256,3.647001444545669,0.05653051733574414
RBF SVM,79.10025596618652,4.66367679283741,0.2724387214264994,256,0.05895906069926019,0.0034442204781607844
Polynomial SVM,60.07898259162903,3.436559516266118,0.053914326601435,256,0.057200694286473217,0.0008973908058314395
Gaussian Process,16.11462950706482,10.317424798288323,2.000785952581711,256,0.6402520637390428,0.12415959992778895
Decision Tree,3.010430335998535,7.604041971029182,0.7571662651382772,256,2.5258986664134127,0.25151429550922705
Random Forest,49.073620080947876,5.943023388009812,0.23185097699558582,256,0.1211042384524859,0.0047245541823314275
Gradient Boosting,511.6615836620331,1.488442418116733,0.2585470522881266,256,0.002909036882276257,0.0005053087050969693
Neural Net,5242.087230682373,2.2401656990502086,0.1985169228697567,256,0.0004273423162320406,3.786982439128838e-05
AdaBoost,261.30796551704407,6.91636364850502,0.13184312239384724,256,0.026468246518317074,0.0005045507209585911
SGD,1850.065675020218,10.191380588398786,0.18537840605495104,256,0.00550865881465933,0.00010020098667736494
